Date,Product,Category,Region,Salesperson,Quantity,Unit_Price,Total_Sales
2024-01-07,Laptop,Electronics,East,Maria,4,100,400
2024-06-22,Laptop,Electronics,North,Daniel,7,50,350
2024-01-24,Laptop,Electronics,South,Maria,9,500,4500
2024-05-23,Laptop,Electronics,South,Daniel,7,100,700
2024-05-30,Headphones,Accessories,East,Alex,3,300,900
2024-03-12,Tablet,Electronics,South,Maria,6,50,300
2024-04-07,Laptop,Electronics,North,John,6,500,3000
2024-01-12,Tablet,Electronics,West,Daniel,2,300,600
2024-05-21,Laptop,Electronics,East,Daniel,6,500,3000
2024-01-18,Phone,Electronics,North,Maria,5,50,250
2024-01-26,Phone,Electronics,West,John,8,200,1600
2024-04-04,Phone,Electronics,East,Maria,5,50,250
2024-06-11,Smartwatch,Accessories,South,Daniel,4,100,400
2024-04-07,Headphones,Accessories,East,Daniel,4,200,800
2024-02-28,Laptop,Electronics,North,John,7,200,1400
2024-02-24,Laptop,Electronics,East,Maria,8,300,2400
2024-02-06,Headphones,Accessories,East,Maria,4,500,2000
2024-03-08,Smartwatch,Accessories,West,Daniel,7,200,1400
2024-02-05,Phone,Electronics,West,Alex,1,50,50
2024-06-09,Phone,Electronics,South,Sara,10,50,500
2024-04-07,Headphones,Accessories,West,Daniel,5,500,2500
2024-06-23,Laptop,Electronics,North,Daniel,5,200,1000
2024-03-16,Laptop,Electronics,West,Maria,8,50,400
2024-05-08,Tablet,Electronics,South,Daniel,2,200,400
2024-06-04,Smartwatch,Accessories,South,Maria,6,100,600
2024-05-15,Smartwatch,Accessories,North,Daniel,6,300,1800
2024-01-29,Laptop,Electronics,East,John,4,50,200
2024-05-25,Phone,Electronics,North,Alex,8,50,400
2024-02-02,Smartwatch,Accessories,South,Sara,9,100,900
2024-05-15,Tablet,Electronics,West,Maria,9,100,900
2024-04-12,Tablet,Electronics,East,Sara,9,300,2700
2024-03-04,Laptop,Electronics,South,Alex,6,50,300
2024-05-21,Smartwatch,Accessories,South,Daniel,4,50,200
2024-06-10,Laptop,Electronics,North,Maria,2,50,100
2024-01-19,Tablet,Electronics,South,John,8,100,800
2024-02-03,Smartwatch,Accessories,West,Maria,8,300,2400
2024-01-25,Phone,Electronics,North,Sara,6,300,1800
2024-04-29,Headphones,Accessories,North,Alex,1,300,300
2024-01-28,Tablet,Electronics,South,Maria,4,500,2000
2024-02-05,Headphones,Accessories,West,Maria,5,300,1500
2024-01-20,Phone,Electronics,West,Daniel,2,50,100
2024-01-04,Smartwatch,Accessories,North,Maria,3,300,900
2024-05-03,Headphones,Accessories,South,Sara,1,100,100
2024-01-01,Headphones,Accessories,West,John,8,200,1600
2024-06-27,Headphones,Accessories,West,Maria,4,200,800
2024-01-15,Phone,Electronics,North,John,1,50,50
2024-05-02,Smartwatch,Accessories,South,Alex,9,50,450
2024-01-18,Phone,Electronics,North,Maria,7,50,350
2024-03-04,Smartwatch,Accessories,North,Daniel,2,300,600
2024-05-24,Smartwatch,Accessories,East,John,4,200,800
2024-03-08,Phone,Electronics,West,Maria,5,300,1500
2024-01-19,Tablet,Electronics,North,Sara,10,500,5000
2024-01-19,Laptop,Electronics,South,Daniel,5,100,500
2024-01-18,Tablet,Electronics,South,John,5,100,500
2024-05-19,Headphones,Accessories,East,Daniel,9,50,450
2024-03-17,Smartwatch,Accessories,North,Maria,5,50,250
2024-05-21,Laptop,Electronics,South,John,5,500,2500
2024-03-28,Phone,Electronics,South,John,9,300,2700
2024-01-14,Tablet,Electronics,North,Sara,5,50,250
2024-03-26,Laptop,Electronics,South,John,3,300,900
2024-04-19,Smartwatch,Accessories,North,Alex,2,100,200
2024-01-10,Smartwatch,Accessories,East,Daniel,9,100,900
2024-02-02,Headphones,Accessories,North,John,6,50,300
2024-02-23,Tablet,Electronics,South,Alex,6,500,3000
2024-06-07,Headphones,Accessories,South,Maria,3,100,300
2024-01-07,Headphones,Accessories,South,John,7,100,700
2024-02-10,Tablet,Electronics,North,Sara,1,300,300
2024-02-21,Phone,Electronics,West,John,5,100,500
2024-01-07,Phone,Electronics,South,Sara,6,200,1200
2024-03-12,Laptop,Electronics,East,Daniel,7,500,3500
2024-01-08,Tablet,Electronics,North,John,3,500,1500
2024-01-10,Tablet,Electronics,North,Daniel,7,200,1400
2024-04-21,Tablet,Electronics,North,Sara,10,100,1000
2024-01-12,Tablet,Electronics,West,Alex,9,500,4500
2024-04-03,Phone,Electronics,West,Alex,6,500,3000
2024-06-18,Tablet,Electronics,North,John,9,200,1800
2024-03-24,Headphones,Accessories,West,John,9,100,900
2024-04-17,Phone,Electronics,West,Maria,10,500,5000
2024-04-13,Tablet,Electronics,North,John,5,100,500
2024-05-28,Headphones,Accessories,East,Sara,8,300,2400
2024-05-10,Phone,Electronics,West,Maria,2,200,400
2024-06-18,Smartwatch,Accessories,East,Alex,4,200,800
2024-02-20,Phone,Electronics,South,Alex,1,100,100
2024-06-05,Headphones,Accessories,North,Sara,7,500,3500
2024-06-27,Phone,Electronics,West,Sara,7,100,700
2024-06-16,Phone,Electronics,North,Alex,7,100,700
2024-06-27,Phone,Electronics,West,Alex,9,100,900
2024-04-26,Laptop,Electronics,South,Sara,9,500,4500
2024-03-22,Smartwatch,Accessories,West,Daniel,9,300,2700
2024-04-24,Smartwatch,Accessories,South,Sara,8,200,1600
2024-06-12,Phone,Electronics,East,Daniel,8,100,800
2024-04-22,Tablet,Electronics,North,John,4,200,800
2024-03-22,Tablet,Electronics,North,Maria,3,100,300
2024-06-26,Headphones,Accessories,South,Maria,2,300,600
2024-03-25,Headphones,Accessories,West,Sara,1,100,100
2024-04-09,Headphones,Accessories,North,Daniel,7,300,2100
2024-03-31,Laptop,Electronics,East,Sara,7,500,3500
2024-06-03,Smartwatch,Accessories,South,Sara,4,200,800
2024-05-04,Headphones,Accessories,North,Sara,6,300,1800
2024-04-29,Phone,Electronics,South,Daniel,9,50,450
2024-05-31,Headphones,Accessories,North,Alex,7,100,700
2024-02-16,Headphones,Accessories,North,John,7,200,1400
2024-04-26,Phone,Electronics,East,John,7,200,1400
2024-03-05,Headphones,Accessories,North,Sara,1,500,500
2024-03-30,Laptop,Electronics,South,Alex,1,50,50
2024-02-21,Phone,Electronics,North,Daniel,3,100,300
2024-05-01,Phone,Electronics,North,Daniel,4,300,1200
2024-04-04,Tablet,Electronics,South,Daniel,10,50,500
2024-03-20,Phone,Electronics,North,Daniel,1,200,200
2024-06-22,Smartwatch,Accessories,West,Sara,4,50,200
2024-06-25,Smartwatch,Accessories,South,Alex,5,500,2500
2024-05-24,Laptop,Electronics,North,John,9,300,2700
2024-01-18,Tablet,Electronics,East,Alex,7,300,2100
2024-04-20,Laptop,Electronics,East,Sara,3,300,900
2024-05-13,Phone,Electronics,East,Daniel,9,300,2700
2024-04-21,Headphones,Accessories,East,John,4,50,200
2024-04-25,Tablet,Electronics,South,Sara,10,500,5000
2024-03-27,Headphones,Accessories,North,Sara,6,100,600
2024-02-24,Headphones,Accessories,East,John,6,200,1200
2024-06-28,Smartwatch,Accessories,East,Daniel,1,500,500
2024-01-22,Phone,Electronics,South,Sara,8,500,4000
2024-06-25,Phone,Electronics,West,Sara,8,50,400
2024-03-16,Laptop,Electronics,South,Sara,4,200,800
2024-04-04,Smartwatch,Accessories,West,Daniel,9,200,1800
2024-05-20,Headphones,Accessories,East,John,8,200,1600
2024-03-05,Tablet,Electronics,South,Alex,4,200,800
2024-05-17,Laptop,Electronics,South,Maria,4,300,1200
2024-05-30,Tablet,Electronics,East,Alex,4,200,800
2024-04-02,Phone,Electronics,South,John,1,500,500
2024-03-11,Phone,Electronics,North,Alex,9,200,1800
2024-06-12,Phone,Electronics,West,Alex,1,500,500
2024-04-30,Tablet,Electronics,West,Sara,6,100,600
2024-03-05,Laptop,Electronics,West,Alex,2,300,600
2024-01-19,Headphones,Accessories,North,Maria,3,500,1500
2024-01-22,Tablet,Electronics,South,Alex,9,300,2700
2024-06-01,Smartwatch,Accessories,South,Daniel,7,300,2100
2024-03-17,Headphones,Accessories,West,John,10,500,5000
2024-06-05,Laptop,Electronics,North,Maria,4,200,800
2024-02-10,Laptop,Electronics,South,Maria,9,50,450
2024-01-01,Phone,Electronics,West,Sara,10,300,3000
2024-01-09,Tablet,Electronics,South,John,5,300,1500
2024-06-24,Laptop,Electronics,South,John,10,100,1000
2024-01-30,Headphones,Accessories,South,Maria,5,100,500
2024-01-16,Laptop,Electronics,South,John,10,500,5000
2024-04-22,Tablet,Electronics,North,Sara,5,300,1500
2024-05-08,Tablet,Electronics,West,Sara,2,500,1000
2024-04-20,Laptop,Electronics,East,Daniel,5,50,250
2024-02-28,Laptop,Electronics,North,John,10,50,500
2024-04-30,Phone,Electronics,West,John,3,500,1500
2024-06-11,Headphones,Accessories,West,Alex,8,200,1600
2024-03-26,Headphones,Accessories,East,Alex,3,200,600
2024-06-26,Headphones,Accessories,West,John,7,500,3500
2024-04-26,Laptop,Electronics,North,John,5,200,1000
2024-04-13,Laptop,Electronics,North,Daniel,8,300,2400
2024-02-18,Laptop,Electronics,East,Daniel,8,300,2400
2024-02-22,Laptop,Electronics,East,Daniel,3,200,600
2024-06-27,Headphones,Accessories,West,Alex,1,500,500
2024-02-10,Phone,Electronics,East,Daniel,1,500,500
2024-01-24,Headphones,Accessories,South,Alex,8,50,400
2024-05-07,Phone,Electronics,East,Daniel,5,300,1500
2024-04-30,Headphones,Accessories,South,Sara,9,100,900
2024-02-18,Headphones,Accessories,South,Alex,5,300,1500
2024-05-09,Tablet,Electronics,East,Alex,5,200,1000
2024-05-28,Smartwatch,Accessories,West,Maria,8,500,4000
2024-03-29,Headphones,Accessories,East,Daniel,9,300,2700
2024-03-23,Headphones,Accessories,South,Maria,10,300,3000
2024-04-15,Phone,Electronics,North,John,8,300,2400
2024-06-18,Headphones,Accessories,South,Sara,1,100,100
2024-05-31,Smartwatch,Accessories,East,Alex,8,50,400
2024-04-26,Smartwatch,Accessories,North,Maria,7,100,700
2024-04-30,Laptop,Electronics,East,John,10,300,3000
2024-03-25,Laptop,Electronics,West,John,8,500,4000
2024-06-07,Laptop,Electronics,North,Maria,5,100,500
2024-04-21,Laptop,Electronics,North,Alex,8,100,800
