Student ID,Gender,Study Hours,Sleep Hours,Social Media Hours,CGPA,Depression
1001,Female,2.5,5.0,4.5,2.8,Yes
1002,Male,5.0,7.0,2.0,3.5,No
1003,Female,1.5,4.5,5.0,2.4,Yes
1004,Male,6.0,8.0,1.5,3.8,No
1005,Female,3.0,6.0,3.5,3.0,No
1006,Male,7.0,7.5,1.0,3.9,No
1007,Female,4.0,6.5,3.0,3.2,No
1008,Male,2.0,5.0,4.0,2.7,Yes
1009,Female,5.5,7.0,2.0,3.6,No
1010,Male,3.0,6.0,3.0,3.1,No
1011,Female,1.0,4.0,5.5,2.3,Yes
1012,Male,6.5,8.0,1.0,3.9,No
1013,Female,4.5,7.0,2.5,3.4,No
1014,Male,2.5,5.5,4.0,2.9,Yes
1015,Female,3.5,6.0,3.5,3.2,No
1016,Male,5.0,7.0,2.0,3.6,No
1017,Female,2.0,5.0,4.5,2.6,Yes
1018,Male,7.0,8.0,1.0,4.0,No
1019,Female,6.0,7.5,1.5,3.7,No
1020,Male,3.0,6.0,3.0,3.0,No
1021,Female,4.0,6.5,2.5,3.3,No
1022,Male,1.5,4.5,5.0,2.5,Yes
1023,Female,5.0,7.0,2.0,3.5,No
1024,Male,6.0,8.0,1.0,3.8,No
1025,Female,2.5,5.5,4.0,2.9,Yes
1026,Male,4.0,6.5,2.5,3.3,No
1027,Female,3.0,6.0,3.0,3.1,No
1028,Male,2.0,5.0,4.5,2.6,Yes
1029,Female,5.5,7.5,1.5,3.7,No
1030,Male,6.0,8.0,1.0,3.9,No
1031,Female,1.5,4.0,5.0,2.4,Yes
1032,Male,7.0,8.0,1.0,4.0,No
1033,Female,4.5,6.5,2.5,3.4,No
1034,Male,3.0,6.0,3.5,3.1,No
1035,Female,2.0,5.0,4.0,2.7,Yes
1036,Male,5.0,7.0,2.0,3.6,No
1037,Female,6.0,7.5,1.5,3.8,No
1038,Male,2.5,5.5,4.0,2.8,Yes
1039,Female,3.5,6.0,3.0,3.2,No
1040,Male,4.0,6.5,2.5,3.3,No
1041,Female,1.0,4.0,5.5,2.2,Yes
1042,Male,6.5,8.0,1.0,3.9,No
1043,Female,5.0,7.0,2.0,3.5,No
1044,Male,2.0,5.0,4.0,2.7,Yes
1045,Female,4.0,6.5,2.5,3.3,No
1046,Male,3.0,6.0,3.0,3.0,No
1047,Female,2.5,5.5,4.5,2.8,Yes
1048,Male,7.0,8.0,1.0,4.0,No
1049,Female,6.0,7.5,1.5,3.8,No
1050,Male,1.5,4.5,5.0,2.5,Yes
1051,Female,3.0,6.0,3.5,3.1,No
1052,Male,5.0,7.0,2.0,3.6,No
1053,Female,4.5,6.5,2.5,3.4,No
1054,Male,2.0,5.0,4.0,2.6,Yes
1055,Female,5.5,7.0,2.0,3.6,No
1056,Male,6.0,8.0,1.0,3.9,No
1057,Female,1.5,4.5,5.0,2.4,Yes
1058,Male,4.0,6.5,2.5,3.3,No
1059,Female,3.5,6.0,3.0,3.2,No
1060,Male,2.5,5.5,4.5,2.8,Yes
